"kWh pro m² und Jahr";"barlabel.gesamt"
"10";0,02
"20";1,32
"30";1,28
"40";1,18
"50";1,42
"60";1,75
"70";2,24
"80";3,04
"90";4,25
"100";4,47
"110";5,41
"120";5,96
"130";6,24
"140";6,44
"150";6,54
"160";5,93
"170";6,2
"180";5,48
"190";4,2
"200";4,24
"210";4,08
"220";2,73
"230";2,69
"240";2,25
"250";1,87
"260";1,7
"270";1,29
"280";0,99
"290";0,81
"300";0,85
"310";0,6
"320";0,53
"330";0,36
"340";0,48
"350";0,26
"360";0,26
"370";0,14
"380";0,16
"390";0,09
"400";0,1
"410";0,06
"420";0,04
"430";0,02
"440";0,01
"450";0,01
"460";0,01
"470";0
"480";0
"490";0
"500";0
"510";0
"520";0
